text,location_str,latitude,longitude,sentiment,sentiment_strength,confidence,neg_score,neu_score,pos_score,analysis_timestamp
"Coronavirus Update:
☣️️ Total cases: 260,661,944 (+91,898) ☣️️
⚠️ Current cases: 19,923,308 (+38,148) ⚠️
⚰️ Deaths: 5,203,809 (+396) ⚰️
🏥 Recovered: 235,534,827 (+53,354) 🏥

Updated every 2 hours
#Coronavirus #COVID19 #COVIDー19
Source: https://t.co/nFY1lZJJ2I",The Netherlands,52.2434979,5.6343227,Neutral,-0.0467,0.8776,0.0845,0.8776,0.0378,2025-12-05 13:26:52
"👏 Gràcies al vostre bon comportament, les dades de 🦠 covid de Rafelbunyol han millorat i hem aconseguit tindre 0️⃣ contagis. Per a continuar en esta situació hem de continuar 😷 actuant amb responsabilitat.

#Contagis #Coronavirus #Covid19 #AjuntamentDeRafelbunyol #Rafelbunyol https://t.co/nEESugRMl4",Rafelbunyol,39.5884632,-0.3325421,Neutral,-0.0018,0.6685,0.1666,0.6685,0.1648,2025-12-05 13:26:52
"🔎La #Covid19 ha hecho que muchas #empresas tuvieran que reducir costes. 
🧩A veces es complicado saber cómo hacerlo o por dónde empezar y cómo conseguir volver a tener beneficios. 
📰Estos #consejos seguro que os ayudan: 
https://t.co/F8gVruFkVb","Barcelona, Spain",41.3825802,2.177073,Neutral,-0.2152,0.7246,0.2453,0.7246,0.0301,2025-12-05 13:26:52
"BREAKING: The @US_FDA Vaccines and Related Biological Products Advisory Committee (#VRBPAC) voted in support of granting Emergency Use Authorization (EUA) for the Pfizer-BioNTech #COVID19 vaccine in children ages 5 to &lt;12 years.

Learn more: https://t.co/R8QPujSN2v https://t.co/sJpg0lWT8R","New York, NY",40.7127281,-74.0060152,Neutral,0.187,0.7984,0.0073,0.7984,0.1943,2025-12-05 13:26:52
ALERTE ALERTE ALERTE #VaccinationObligatoire #DictatureSanitaire #COVID19 #vaccination #NonAuVaccinObligatoire https://t.co/AtlpcpcCq7,terre,8.5322391,38.6264712,Neutral,-0.2377,0.6903,0.2737,0.6903,0.036,2025-12-05 13:26:52
Three imported COVID-19 cases were reported in the city on Friday (Nov 5). There were no new locally transmitted cases. #COVID19 https://t.co/PKkc0DDDcI,"上海, 中华人民共和国",31.2312707,121.4700152,Neutral,-0.1738,0.7441,0.2149,0.7441,0.0411,2025-12-05 13:26:52
"This CO2 monitor shows we are at safe levels, ie well ventilated at @FrontiersHealth #FH21 in #Milano The #aranet4 is reliable and compact. #safety #COVID19 https://t.co/95FPBZvyYv","Paris, France",48.8588897,2.320041,Positive,0.7438,0.7524,0.0086,0.239,0.7524,2025-12-05 13:26:52
"En febrero de este año les preguntamos a algunas artistas si creerían que la #pandemia por #Covid19 cambiaría las prácticas del arte, además de indagar cómo estaban sobreviviendo económicamente.

Concepción Huerta (artista sonora)

https://t.co/4lpqxzpFjP",CDMX,19.4326296,-99.1331785,Neutral,-0.0118,0.8559,0.078,0.8559,0.0662,2025-12-05 13:26:52
Important discussions between #pharma industry and providers of healthcare - as partners - has been a feature of #COVID19 and we hope it continues @lorddrayson #CSCHealth21 https://t.co/zp7jt3HMz0,London & New York,40.7364228,-73.8651888,Positive,0.8079,0.8135,0.0056,0.1809,0.8135,2025-12-05 13:26:52
"A third #COVID19 vaccine dose is now available and free for eligible New Yorkers at any NYC Health + Hospitals location! Walk-ins are welcome. Find answers to frequently asked questions about the third dose, and learn more about eligibility: https://t.co/8zUfFsd41J https://t.co/6daGycYb8k",NYC,40.7127281,-74.0060152,Positive,0.56,0.5638,0.0038,0.4324,0.5638,2025-12-05 13:26:52
#esnoticia #COVID19: Vuelven a aumentar los nuevos positivos en #Guadalajara entre ayer y hoy https://t.co/YYwOzv1xAz a través de @henaresaldia #coronavirus @gobjccm @SanidadGU @SanidadCLM,Guadalajara España,40.7399963,-2.50593,Neutral,-0.0802,0.7571,0.1615,0.7571,0.0813,2025-12-05 13:26:52
"Kontrowersyjne: 

❌ wszystkie przypadki zgłoszonych - #coronavirus'owych - pacjentów uwzględniane są w częstości hospitalizacji. 

❌ #RKI wnioskuje, aby liczyć tylko tych ""którzy hospitalizowani byli z powodu #Covid19"".

👇 https://t.co/PzG2RiuK9T","Berlin, Germany",52.5173885,13.3951309,Neutral,-0.114,0.8038,0.1551,0.8038,0.0411,2025-12-05 13:26:52
"🧐

#Латвия #Covid19 #Тесты https://t.co/fm22jA6hdW","Рига, Латвия",56.9493977,24.1051846,Neutral,-0.1186,0.827,0.1458,0.827,0.0272,2025-12-05 13:26:52
"@Politica_LR Recuerdan cuando ROSA Maria Palacios decía que #COVID19 era un invento.
🤣 😹 😂",Tu Corazon,-1.2431881,-78.6207161,Neutral,-0.1111,0.6977,0.2067,0.6977,0.0956,2025-12-05 13:26:52
"新たに分かった感染者数24人だが27日の総検査数平均値6263人（感染者数36人）で陽性率を算出すると0.6%？
更に7日ほど遡ってみると

41/6383=0.6%
36/5586=0.6%
26/5586=0.5%
32/3886=0.8%
19/4573=0.4%
17/5491=0.3%
29/7085=0.4%

もう一息か？ #COVID19 #NHK #N501Y #L452R 油断大敵…。 https://t.co/B4adQKIl3l https://t.co/G8KSO893jM",都内,36.451441,139.728949,Neutral,-0.0114,0.852,0.0797,0.852,0.0683,2025-12-05 13:26:52
"So far, #Taiwan is also maintaining a very strict border control and quarantine measures due to its relatively low fully-vaccination rate. It'll be very difficult for the local population to transition from the current ""zero-#COVID19 mentality"" to living with the virus in ... https://t.co/Opoad0Cf39","Taipei, Taiwan",25.0375198,121.5636796,Negative,-0.5999,0.6152,0.6152,0.3695,0.0153,2025-12-05 13:26:52
“No va a haber un apagón eléctrico; habrá un apagón digital informático; tras el #COVID19 no se puede meter más miedo a la gente” @espearribas https://t.co/qV97d0Lz7W,Madrid,40.416782,-3.703507,Neutral,-0.0841,0.8093,0.1374,0.8093,0.0533,2025-12-05 13:26:52
"1 of the #tourist group involved in the #Covid19 cases was successfully intercepted by this #tour #bus #driver, Mr Dong. the groups was on his bus to a popular restaurant. He persuade them to do #PCRTEST instead. 4 found +. He is quarantined in a hotel. 
https://t.co/6UmFdwHOEc https://t.co/PfLnCqhlcL","Ottawa, Ontario",45.4208777,-75.6901106,Neutral,-0.4237,0.4963,0.4637,0.4963,0.04,2025-12-05 13:26:52
"#Vacunas

Concluirá diciembre con intensa campaña de vacunas contra #COVID19 

Continúa la aplicación en #Jiutepec, #Ayala, #Tepalcingo, #Jonacatepec y zona sur.

La vacunación para jóvenes de 15 a 17 años se realizará del 27 al 30 de diciembre en siete municipios. https://t.co/5BWYnjJpwH","Cuernavaca, Morelos",18.9331321,-99.2599579,Neutral,-0.0434,0.8622,0.0906,0.8622,0.0472,2025-12-05 13:26:52
"This new #aelpwebinar will examine the key themes that are starting to emerge from @Ofstednews latest inspections in light of the #EIF, the impact of the #Covid19 pandemic and a number of changes to the #FE and #Skills #inspection handbook. Register at: https://t.co/nfSImYPLBg https://t.co/re6355ENqT",England,52.5310214,-1.2649062,Neutral,0.022,0.9004,0.0388,0.9004,0.0608,2025-12-05 13:26:52
"In Ireland, #COVID19 cases hit their highest point in 9 months, suggesting the new surge is continuing. Cases were higher just 14 days since the start of the pandemic. Some of us (like me) are 6 months-post 2nd jab w/ waning protection. Boosters would be appreciated, @HSELive.","Dublin, Ireland",53.3493795,-6.2605593,Neutral,-0.2759,0.5824,0.3468,0.5824,0.0709,2025-12-05 13:26:52
"New #COVID19 variant #Omicron doesn't escape the Reverse Transcription-Polymerase Chain Reaction (#RTPCR) test and Rapid Antigen Test, Indian Council of Medical Research (@ICMRDELHI) Director General, Dr Balram Bhargava, said.

Photo: IANS (File) https://t.co/s7sBnIDTRO",New Delhi,28.6419258,77.2217499,Neutral,-0.2316,0.7306,0.2505,0.7306,0.0189,2025-12-05 13:26:52
"Nazismens likheter med det nya Europa i #Covid19-eftereffekternas åtgärder med förbud mot icke vaccinerade visar oss att steget till diktatur i Europa var kort. Jag tycker samhället kunde levt med distans 2 meter, munskydd, stanna hemma om du är sjuk @EUCouncil. Men girighet... https://t.co/u9L6pYSrR9",Stockholm,59.3251172,18.0710935,Neutral,-0.0634,0.7703,0.1466,0.7703,0.0832,2025-12-05 13:26:52
"Desde mañana lunes nos encontraremos para dar inicio a la #IPWeek2021, #PropiedadIntelectual, #InterésPúblico y #COVID19. Iniciamos a las 8:15 a.m. (UTC-5). ¡Consulta el programa y agéndate! https://t.co/lkslBsGvqw","Colombia, América Latina",6.2554386,-75.5775126,Neutral,0.0314,0.8584,0.0551,0.8584,0.0865,2025-12-05 13:26:52
"Satuan Tugas Penanganan COVID-19 Provinsi Kepulauan Bangka Belitung, menyatakan, enam dari tujuh kabupaten/kota di Babel mencatat nol atau tidak ada tambahan kasus harian COVID-19 #BangkaBelitung #COVID19
https://t.co/rnIqp4svEF",Jakarta Capital Region,-6.1866319,106.8456914,Neutral,-0.1605,0.7351,0.2127,0.7351,0.0522,2025-12-05 13:26:52
"“COVID-19 Vaccine Mandates for Travel” - via @Forbes - https://t.co/42FomRDMO2
--
#COVID19 #covidvaccine #vaxnews #vaccines #vaccineswork #covid19vaccines #COVID19vaccine #vaccination",United States,39.7837304,-100.445882,Neutral,0.0361,0.9188,0.0225,0.9188,0.0586,2025-12-05 13:26:52
"Las mujeres periodistas son reconocidas en el #icfjawards en el Tributo a Periodistas 2021 del @ICFJ 

Este año reconocen el trabajo de la periodista @natalialevien quien impulsó desde @agencialupa más de 1.500 verificaciones sobre el #COVID19 https://t.co/6qMMYwcpVs","Edinburg, TX",26.3013982,-98.1624501,Neutral,0.0761,0.8777,0.0231,0.8777,0.0992,2025-12-05 13:26:52
"This study delineated #COVID19 related worry on cognitive functioning and risk-taking. 
""self-reported pandemic-related worry predicted deficits in information processing speed and maintenance of goal-related contextual information""

https://t.co/SABhBXv92l","Tulln, Niederösterreich",48.3311702,16.05179,Negative,-0.631,0.6455,0.6455,0.34,0.0145,2025-12-05 13:26:52
".@wtov9 @AddisonWTOV9: Hospital in Jefferson County, Ohio seeing #COVID19 cases trending upward as winter closes in: https://t.co/jVv9tWQF3N","Baltimore, MD",39.2908816,-76.610759,Neutral,-0.0495,0.8835,0.083,0.8835,0.0335,2025-12-05 13:26:52
🔎 Les tests restent-ils gratuits pour un vacciné qui n’a pas fait sa dose de rappel contre le #covid19 ? #CheckNews https://t.co/hzecQFxbjw,"Paris, France",48.8588897,2.320041,Neutral,-0.1513,0.8053,0.173,0.8053,0.0217,2025-12-05 13:26:52
The govts top priority is your health.. 😂 #COVID19 #Covid_19 https://t.co/OExZYOZbPv,"Whitechapel, London",51.5174861,-0.0659685,Neutral,-0.1035,0.5479,0.2778,0.5479,0.1743,2025-12-05 13:26:52
"@espn So everyone is getting in trouble for covid rule breaking but nobody is talking about Lamar Jackson at the Louisville vs Syracuse came with 50,000 people unmasked? @stephenasmith @Espngreeny
@Realrclark25 

#nfl #COVID19 #BaltimoreRavens #ESPN",New York,40.7127281,-74.0060152,Negative,-0.6929,0.7016,0.7016,0.2897,0.0087,2025-12-05 13:26:52
"राज्यात कोरोनाचा वेगाने प्रसार …
राज्यात आज कोरोनाच्या रुग्णसंख्येत मोठी वाढ…
दिवसभरात 3 हजार 900 नव्या कोरोनाबाधितांची नोंद

#Maharashtra #COVID19",Mumbai,19.054999,72.8692035,Neutral,-0.0575,0.7827,0.1374,0.7827,0.0799,2025-12-05 13:26:52
Work is under progress on schedule despite challenges of #COVID19. https://t.co/2SSdSw5K5t,"New Delhi, India",28.6419258,77.2217499,Neutral,0.3608,0.5626,0.0383,0.5626,0.3991,2025-12-05 13:26:52
"اومی کرون کے مشتبہ تمام مریضوں کی کوئی خاص ٹریول ہسٹری نہیں، ڈی ایچ او

اومی کرون کے مشتبہ مریضوں میں ایک خاتون بھی شامل، ڈی ایچ او

قلات سے اومی کرون کے 32 مشتبہ کیس رپورٹ، ڈی ایچ او

#DunyaNews #DunyaUpdates #Omicron #COVID19",Pakistan,30.3308401,71.247499,Neutral,-0.0829,0.725,0.1789,0.725,0.096,2025-12-05 13:26:52
"SENEGAL-GOUVERNEMENT
Le communiqué du Conseil des ministres du mercredi 8 décembre 2021:

Lire la suite 👉https://t.co/6TcSw2K82d

 #APSofficiel #Senegal #Kebetu #Societe #Covid19 https://t.co/NjJTbIgf0e",Sénégal,14.4750607,-14.4529612,Neutral,0.0441,0.9203,0.0178,0.9203,0.0619,2025-12-05 13:26:52
"Dice el presidente @lopezobrador_  que no se descarta la aplicación de una tercera dosis de protección contra el #COVID19.

Precisa que serían los adultos mayores quienes la recibirían primero https://t.co/exPfMStIo5","Villahermosa, Tabasco, México",17.9884657,-92.9366326,Neutral,-0.1445,0.7429,0.2008,0.7429,0.0563,2025-12-05 13:26:52
Global #COVID19 Rapid Test Kits Market Report 2021: Market is Expected to Reach $0.27 Billion in 2025 at a CAGR of -58% with Long-term Forecast to 2030 https://t.co/Da7tX8yRWI,"London, United Kingdom",51.5074456,-0.1277653,Neutral,0.0791,0.8413,0.0398,0.8413,0.1189,2025-12-05 13:26:52
"Walk-in Vaccination clinic open
📆3rd December
⏰10.30-2.30pm
Burton Community Fire Station. Moor Street. Burton Upon Trent. DE14 3SU 
#covidvaccine #covid19 #burton https://t.co/hQdFe7KJTo",Stafford,38.4167265,-77.4579783,Neutral,0.0538,0.9292,0.0085,0.9292,0.0623,2025-12-05 13:26:52
"@filosofical_140 Actually there's lots of evidence pointing to a possible Wuhan lab leak, so I won't stop talking about it on Twitter, as it's very helpful to try and ascertain exactly how #COVID19 started if we're to stop future pandemics. Follow @Ayjchan (not Trump!) for much of that evidence.","Sussex, England",50.9445139,-0.0622673,Neutral,0.4023,0.474,0.0618,0.474,0.4641,2025-12-05 13:26:52
"Especialistas dan su punto de vista sobre el por qué el streaming captó a los cinéfilos durante la pandemia por #Covid19

https://t.co/OFytPCBtG7",Mérida Yucatán,20.9670759,-89.6237402,Neutral,-0.0794,0.8138,0.1328,0.8138,0.0534,2025-12-05 13:26:52
"@MikeRogan11 explains the impact of #COVID19 across cities &amp; sectors in 2021:

⚠️Most workers surveyed have not recovered their ability to work

💸By mid 2021, a typical worker was earning just 64% of their pre-COVID income

🔗 Watch the webinar: https://t.co/vkixRDVGCy https://t.co/NG7jJAcQkf",Everywhere!,45.5055196,-122.6564484,Negative,-0.5195,0.5363,0.5363,0.4469,0.0168,2025-12-05 13:26:52
"All New Yorkers can get $100, free tickets, memberships or gifts for getting vaccinated against #COVID19 at an @NYCHealthSystem location. These giveaways will be available for a limited time, so get your #COVID19vaccine today. More info: https://t.co/iY6mBQqDKN https://t.co/U7HnQLCi6e","South Ozone Park, NY",40.6701035,-73.8190231,Positive,0.5954,0.6012,0.0058,0.393,0.6012,2025-12-05 13:26:52
"#COVID19 Get vaccinated today and help protect yourself &amp; your beloved ones this festive season. Be mindful.Keep your masks on, sanitize your hands and maintain social distance. #StaySafe! Happy holidays!!!",Plot 5 Kiwana Rd Bukoto ,0.345499,32.5974834,Positive,0.7836,0.8045,0.0209,0.1746,0.8045,2025-12-05 13:26:52
"Aplicación de SEGUNDA DOSIS Vacuna ASTRAZENECA a personas de 30 a 39 años, rezagados así como embarazadas de #BALANCAN

📆Este 22 y 23 de Octubre, acude por tu vacuna contra el #COVID19.
Recuerda llevar tu comprobante impreso de registro de vacunación  y tú identificación oficial https://t.co/diYA4Pgg7K","Villahermosa, Tabasco.",17.9884657,-92.9366326,Neutral,0.0099,0.8931,0.0485,0.8931,0.0584,2025-12-05 13:26:52
SALUD | Ya se puede pedir cita para vacunar a menores de entre 9 y 11 años. Te contamos cómo hacerlo para #vacunar a tu hijo o a tu hija contra la #Covid19 https://t.co/Xk4KKhC3RH,"Jaén, Andalucía",37.9553976,-3.4937431,Neutral,-0.0062,0.8888,0.0587,0.8888,0.0525,2025-12-05 13:26:52
"Pra variar, o #Ibovespa derretendo. Quando não é o #NoivinhadeAristides falando asneira, é o #COVID19 .","Morumbi, São Paulo",-23.5964988,-46.7178446,Neutral,-0.3061,0.6366,0.3348,0.6366,0.0287,2025-12-05 13:26:52
"Nearly half of democracies have regressed on basic rights in 2020 with measures to combat #COVID19 #pandemic #Πανδημια 
https://t.co/k2YRlSuisj https://t.co/Ox7vb7KtMy",Grèce,38.9953683,21.9877132,Negative,-0.75,0.7622,0.7622,0.2256,0.0122,2025-12-05 13:26:52
"#hyderabad #cancer

Suvarna
1 unit Any Group #blood NEEDED
Basavatharakam Hospital, Banjarahills
9398241870/7997991404
@swachhhyd @BloodDonorWorld @BloodAid @BloodDonorsIn @Bloodhelpline @WeAreHyderabad @Bloodpointorg @HiHyderabad @BSYTRS @ntrtrust @hydblooddonors #COVID19 https://t.co/ukIR8lyn74","Hyderabad, India",17.360589,78.4740613,Neutral,-0.1563,0.7544,0.201,0.7544,0.0447,2025-12-05 13:26:52
"Durante la última semana repuntaron en #Aguascalientes los contagios por #COVID19 en un 14%, al presentarse un total de 407; asimismo, se registraron 16 defunciones más, dentro de las cuales 10 no contaban con la vacuna y 6 tenían su esquema completo, de acuerdo con @SaludAgs. https://t.co/Hb8KV0Oklc",Aguascalientes,21.880487,-102.2967195,Neutral,-0.1038,0.8275,0.1382,0.8275,0.0344,2025-12-05 13:26:52
[2022.Apr.15発行] #COVID19 この論文で提案している手法は，深層ノイズ除去畳み込みオートエンコーダー（DDCAE）が提供するコンパクトで意味のある隠れた表現の利用に基づいています．このターゲットヒストグラムが未知のテストスキャンからどれだけ離れている https://t.co/LapxaCzPPR,日本,36.5748441,139.2394179,Neutral,-0.0634,0.8736,0.0949,0.8736,0.0315,2025-12-05 13:26:52
Che fine ha fatto il vaccino anti #COVID19 #AstraZeneca? Poco fa il medico legale presso la procura della repubblica di Messina dopo aver eseguito l autopsia alla professoressa di un liceo della città ha concluso che è morta per eventi avversi dovuti al vaccino #AstraZeneca,"Sicilia, Italia",37.587794,14.155048,Neutral,-0.0162,0.7888,0.1137,0.7888,0.0975,2025-12-05 13:26:52
"@DiazCanelB Cierto Presidente el imperialismo no puede soportar que contemos con nuestras Vacunas, que ya una parte importante de nuestra población está vacunada y que cada día vamos venciendo la batalla contra la #Covid19. #Cuba🇨🇺 #QbaD❤️ #DeZurdaTeam🤝 #PonleCorazónACuba https://t.co/uVPIQdQv6F",La Habana #Cuba 🇨🇺,23.135305,-82.3589631,Neutral,0.1115,0.7649,0.0618,0.7649,0.1733,2025-12-05 13:26:52
"Y tú,  ¿ya te vacunaste contra el #COVID19? Si no lo has hecho conoce las formas en las que puedes hacer tu cita o la de tus seres queridos. #MeVacuno 👉 https://t.co/VQ3dGuvG0N https://t.co/s6zqXbjKUD",El Salvador,13.8000382,-88.9140683,Neutral,-0.0563,0.8629,0.0967,0.8629,0.0404,2025-12-05 13:26:52
"#Servicetweet für Kurzentschlossene: Der #Impfbus tourt durch #Floridsdorf. Geimpft wird jeweils von 11-16:30 und 17-20 Uhr.

💉 19.11.2021: Gmündstraße 1 (Oscar-Helmer-Hof)
🚌 21.11.2021: Mitterhofergasse 2 (Franz-Koch-Hof)

#Impfung #COVID19 #Corona

https://t.co/1RHtWVyQId",Floridsdorf / Vienna / Austria,48.2798151,16.4121346,Neutral,0.0565,0.8999,0.0218,0.8999,0.0783,2025-12-05 13:26:52
"Focus #COVID19 della Farnesina, aggiornamento del 26/11/2021. Disponibile anche un questionario con informazioni sulla normativa vigente in Italia in materia di spostamenti da/per l’estero. #viaggi #viaggiare
👉👉👉https://t.co/l7Flj4Wv9m https://t.co/yRIUhAZhQj",Provincia autonoma di Trento,46.1029536,11.1297425,Neutral,-0.0028,0.8627,0.0701,0.8627,0.0673,2025-12-05 13:26:52
"Two more cases of Omicron variant confirmed in London. 

The two cases are not related, but both have links to travel in southern Africa. 

One is in Camden and one in Wandsworth. 

#covid #covid19 #omicron https://t.co/8oq1NjO051","London, UK",51.5074456,-0.1277653,Neutral,-0.4358,0.5312,0.4523,0.5312,0.0165,2025-12-05 13:26:52
No vayan al @ElGloboOficial las personas de servicio envuelven los comestibles después de manipular #billetes Guácala 🤮 Adiós medidas #COVID19 #CDMX @AtencionProfeco,México,23.6585116,-102.0077097,Negative,-0.7608,0.7721,0.7721,0.2166,0.0113,2025-12-05 13:26:52
"While people are bitching about Covid not being dangerous, and a conspiracy. Anti vaxxers protesting. Some of us are getting stark reminders that we could die and are seriously ill. So cut the crap and get that booster #COVIDIOTS #Omikron #COVID19 , https://t.co/FzHC9KxeXn","Stroud, England",51.745424,-2.2198605,Negative,-0.891,0.9005,0.9005,0.09,0.0095,2025-12-05 13:26:52
"ஒரே நாளில் ‘#10_டோஸ்’ கொரோனா தடுப்பூசி செலுத்திய நபர்.. #எப்படி நடந்தது..? #மிரண்டுபோன சுகாதாரத்துறை அதிகாரிகள்..!

#COVID19 #CovidVaccine 

https://t.co/uDku30t0rd https://t.co/yRczlDnZds",India,22.3511148,78.6677428,Neutral,0.1075,0.7947,0.0489,0.7947,0.1564,2025-12-05 13:26:52
México reporta 3 mil 698 casos y 236 muertes por #COVID19 Vía @CRM_Noticias https://t.co/D252gwVro2,"San Luis Potosí, México",22.5000001,-100.4949145,Neutral,-0.0962,0.8306,0.1328,0.8306,0.0366,2025-12-05 13:26:52
"With our partner organisations, we want to know what has been the #impact of #COVID19 on #SEND children &amp; #youngpeople in @blackburndarwen 

Survey: https://t.co/oro0lDlmOn

SHARE!

@OsmanSayyed @ShorrockJim @BWDDPH @BwDDenise @zanywanywoo @CrosshillSchool @WeAreLSCFT @BwDMayor https://t.co/1QCHVMWU0O",United Kingdom,54.7023545,-3.2765753,Neutral,0.0187,0.8885,0.0464,0.8885,0.0651,2025-12-05 13:26:52
"À l’heure où s’installe le travail hybride, voici une solution pragmatique pour passer en mode « maison boulot dodo » 🤔

#teletravail #mardiconseil #Entrepreneur #tuesdaymotivations #tuesdayvibe #travail #COVID19 https://t.co/2o0gk21Er8","Aix-en-Provence, France",43.5298424,5.4474738,Neutral,-0.021,0.8633,0.0789,0.8633,0.0579,2025-12-05 13:26:52
"#COVID19 | Maharashtra: The Ahmednagar district administration issued a 'no vaccine, no entry' order covering various areas, including private establishments, shopping malls, hotels, restaurants, cinemas, auditoriums, marriage halls, agriculture markets as well as events.",Jammu And Kashmir,33.6649297,75.1629584,Neutral,-0.1205,0.8213,0.1496,0.8213,0.0291,2025-12-05 13:26:52
"#Karnataka reported 348 fresh #COVID19 cases, 198 recoveries, and 3 deaths in the last 24 hours. Active cases stand at 7,418. (ANI)",Bengaluru,12.9767936,77.590082,Negative,-0.5187,0.5341,0.5341,0.4505,0.0154,2025-12-05 13:26:52
"Happy #COVID19 Friday
#OregonShelterInPlace Day 578

#NowSmoking…  
This HVC Black Friday 2020 (Corona Gorda) by HVC Cigars to send me home today. This Ecuadorian Habano wrapped cigar is Splendid! 

#WhatCigarAreYouSmokingToday?

@CascadeCigar
- @HVCCigars, #HVCBlackFriday2020 https://t.co/ka03R7d0Dt","Portland, Oregon",45.5202471,-122.674194,Positive,0.9619,0.9644,0.0025,0.0331,0.9644,2025-12-05 13:26:52
